"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2025 16:00:00 - 05/01/2025 17:00:00","BZN|ES","Without sequence","35.22","",""
"05/01/2025 17:00:00 - 05/01/2025 18:00:00","BZN|ES","Without sequence","57.72","",""
"05/01/2025 18:00:00 - 05/01/2025 19:00:00","BZN|ES","Without sequence","64.81","",""
"05/01/2025 19:00:00 - 05/01/2025 20:00:00","BZN|ES","Without sequence","64.81","",""
"05/01/2025 20:00:00 - 05/01/2025 21:00:00","BZN|ES","Without sequence","65.2","",""
"05/01/2025 21:00:00 - 05/01/2025 22:00:00","BZN|ES","Without sequence","68.5","",""
"05/01/2025 22:00:00 - 05/01/2025 23:00:00","BZN|ES","Without sequence","60.0","",""
"05/01/2025 23:00:00 - 06/01/2025 00:00:00","BZN|ES","Without sequence","43.01","",""
"06/01/2025 00:00:00 - 06/01/2025 01:00:00","BZN|ES","Without sequence","13.28","",""
"06/01/2025 01:00:00 - 06/01/2025 02:00:00","BZN|ES","Without sequence","8.35","",""
"06/01/2025 02:00:00 - 06/01/2025 03:00:00","BZN|ES","Without sequence","5.23","",""
"06/01/2025 03:00:00 - 06/01/2025 04:00:00","BZN|ES","Without sequence","3.52","",""
"06/01/2025 04:00:00 - 06/01/2025 05:00:00","BZN|ES","Without sequence","3.52","",""
"06/01/2025 05:00:00 - 06/01/2025 06:00:00","BZN|ES","Without sequence","5.61","",""
"06/01/2025 06:00:00 - 06/01/2025 07:00:00","BZN|ES","Without sequence","11.27","",""
"06/01/2025 07:00:00 - 06/01/2025 08:00:00","BZN|ES","Without sequence","37.0","",""
"06/01/2025 08:00:00 - 06/01/2025 09:00:00","BZN|ES","Without sequence","58.15","",""
"06/01/2025 09:00:00 - 06/01/2025 10:00:00","BZN|ES","Without sequence","51.15","",""
"06/01/2025 10:00:00 - 06/01/2025 11:00:00","BZN|ES","Without sequence","40.81","",""
"06/01/2025 11:00:00 - 06/01/2025 12:00:00","BZN|ES","Without sequence","32.83","",""
"06/01/2025 12:00:00 - 06/01/2025 13:00:00","BZN|ES","Without sequence","31.28","",""
"06/01/2025 13:00:00 - 06/01/2025 14:00:00","BZN|ES","Without sequence","22.99","",""
"06/01/2025 14:00:00 - 06/01/2025 15:00:00","BZN|ES","Without sequence","14.0","",""
"06/01/2025 15:00:00 - 06/01/2025 16:00:00","BZN|ES","Without sequence","14.0","",""
"06/01/2025 16:00:00 - 06/01/2025 17:00:00","BZN|ES","Without sequence","38.49","",""
"06/01/2025 17:00:00 - 06/01/2025 18:00:00","BZN|ES","Without sequence","67.5","",""
"06/01/2025 18:00:00 - 06/01/2025 19:00:00","BZN|ES","Without sequence","91.4","",""
"06/01/2025 19:00:00 - 06/01/2025 20:00:00","BZN|ES","Without sequence","110.0","",""
"06/01/2025 20:00:00 - 06/01/2025 21:00:00","BZN|ES","Without sequence","116.2","",""
"06/01/2025 21:00:00 - 06/01/2025 22:00:00","BZN|ES","Without sequence","117.78","",""
"06/01/2025 22:00:00 - 06/01/2025 23:00:00","BZN|ES","Without sequence","105.93","",""
"06/01/2025 23:00:00 - 07/01/2025 00:00:00","BZN|ES","Without sequence","90.0","",""
"07/01/2025 00:00:00 - 07/01/2025 01:00:00","BZN|ES","Without sequence","64.07","",""
"07/01/2025 01:00:00 - 07/01/2025 02:00:00","BZN|ES","Without sequence","60.0","",""
"07/01/2025 02:00:00 - 07/01/2025 03:00:00","BZN|ES","Without sequence","49.9","",""
"07/01/2025 03:00:00 - 07/01/2025 04:00:00","BZN|ES","Without sequence","38.41","",""
"07/01/2025 04:00:00 - 07/01/2025 05:00:00","BZN|ES","Without sequence","19.2","",""
"07/01/2025 05:00:00 - 07/01/2025 06:00:00","BZN|ES","Without sequence","38.7","",""
"07/01/2025 06:00:00 - 07/01/2025 07:00:00","BZN|ES","Without sequence","60.08","",""
"07/01/2025 07:00:00 - 07/01/2025 08:00:00","BZN|ES","Without sequence","97.56","",""
