"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2022 10:00:00 - 06/01/2022 11:00:00","BZN|PT","Without sequence","214.9","",""
"06/01/2022 11:00:00 - 06/01/2022 12:00:00","BZN|PT","Without sequence","207.9","",""
"06/01/2022 12:00:00 - 06/01/2022 13:00:00","BZN|PT","Without sequence","205.0","",""
"06/01/2022 13:00:00 - 06/01/2022 14:00:00","BZN|PT","Without sequence","204.43","",""
"06/01/2022 14:00:00 - 06/01/2022 15:00:00","BZN|PT","Without sequence","196.84","",""
"06/01/2022 15:00:00 - 06/01/2022 16:00:00","BZN|PT","Without sequence","189.89","",""
"06/01/2022 16:00:00 - 06/01/2022 17:00:00","BZN|PT","Without sequence","202.17","",""
"06/01/2022 17:00:00 - 06/01/2022 18:00:00","BZN|PT","Without sequence","222.31","",""
"06/01/2022 18:00:00 - 06/01/2022 19:00:00","BZN|PT","Without sequence","273.44","",""
"06/01/2022 19:00:00 - 06/01/2022 20:00:00","BZN|PT","Without sequence","278.36","",""
"06/01/2022 20:00:00 - 06/01/2022 21:00:00","BZN|PT","Without sequence","251.71","",""
"06/01/2022 21:00:00 - 06/01/2022 22:00:00","BZN|PT","Without sequence","229.96","",""
"06/01/2022 22:00:00 - 06/01/2022 23:00:00","BZN|PT","Without sequence","216.44","",""
"06/01/2022 23:00:00 - 07/01/2022 00:00:00","BZN|PT","Without sequence","210.0","",""
"07/01/2022 00:00:00 - 07/01/2022 01:00:00","BZN|PT","Without sequence","213.47","",""
"07/01/2022 01:00:00 - 07/01/2022 02:00:00","BZN|PT","Without sequence","189.0","",""
"07/01/2022 02:00:00 - 07/01/2022 03:00:00","BZN|PT","Without sequence","180.0","",""
"07/01/2022 03:00:00 - 07/01/2022 04:00:00","BZN|PT","Without sequence","164.9","",""
"07/01/2022 04:00:00 - 07/01/2022 05:00:00","BZN|PT","Without sequence","162.8","",""
"07/01/2022 05:00:00 - 07/01/2022 06:00:00","BZN|PT","Without sequence","165.0","",""
"07/01/2022 06:00:00 - 07/01/2022 07:00:00","BZN|PT","Without sequence","165.2","",""
"07/01/2022 07:00:00 - 07/01/2022 08:00:00","BZN|PT","Without sequence","215.89","",""
"07/01/2022 08:00:00 - 07/01/2022 09:00:00","BZN|PT","Without sequence","243.84","",""
"07/01/2022 09:00:00 - 07/01/2022 10:00:00","BZN|PT","Without sequence","250.01","",""
"07/01/2022 10:00:00 - 07/01/2022 11:00:00","BZN|PT","Without sequence","240.0","",""
"07/01/2022 11:00:00 - 07/01/2022 12:00:00","BZN|PT","Without sequence","232.53","",""
"07/01/2022 12:00:00 - 07/01/2022 13:00:00","BZN|PT","Without sequence","216.28","",""
"07/01/2022 13:00:00 - 07/01/2022 14:00:00","BZN|PT","Without sequence","211.94","",""
"07/01/2022 14:00:00 - 07/01/2022 15:00:00","BZN|PT","Without sequence","207.05","",""
"07/01/2022 15:00:00 - 07/01/2022 16:00:00","BZN|PT","Without sequence","210.11","",""
"07/01/2022 16:00:00 - 07/01/2022 17:00:00","BZN|PT","Without sequence","220.21","",""
"07/01/2022 17:00:00 - 07/01/2022 18:00:00","BZN|PT","Without sequence","243.84","",""
"07/01/2022 18:00:00 - 07/01/2022 19:00:00","BZN|PT","Without sequence","260.0","",""
"07/01/2022 19:00:00 - 07/01/2022 20:00:00","BZN|PT","Without sequence","250.0","",""
"07/01/2022 20:00:00 - 07/01/2022 21:00:00","BZN|PT","Without sequence","243.84","",""
"07/01/2022 21:00:00 - 07/01/2022 22:00:00","BZN|PT","Without sequence","243.84","",""
"07/01/2022 22:00:00 - 07/01/2022 23:00:00","BZN|PT","Without sequence","235.69","",""
"07/01/2022 23:00:00 - 08/01/2022 00:00:00","BZN|PT","Without sequence","215.1","",""
"08/01/2022 00:00:00 - 08/01/2022 01:00:00","BZN|PT","Without sequence","270.02","",""
"08/01/2022 01:00:00 - 08/01/2022 02:00:00","BZN|PT","Without sequence","237.86","",""
"08/01/2022 02:00:00 - 08/01/2022 03:00:00","BZN|PT","Without sequence","215.89","",""
"08/01/2022 03:00:00 - 08/01/2022 04:00:00","BZN|PT","Without sequence","211.44","",""
"08/01/2022 04:00:00 - 08/01/2022 05:00:00","BZN|PT","Without sequence","200.9","",""
"08/01/2022 05:00:00 - 08/01/2022 06:00:00","BZN|PT","Without sequence","200.0","",""
"08/01/2022 06:00:00 - 08/01/2022 07:00:00","BZN|PT","Without sequence","201.36","",""
"08/01/2022 07:00:00 - 08/01/2022 08:00:00","BZN|PT","Without sequence","209.09","",""
"08/01/2022 08:00:00 - 08/01/2022 09:00:00","BZN|PT","Without sequence","215.89","",""
"08/01/2022 09:00:00 - 08/01/2022 10:00:00","BZN|PT","Without sequence","231.0","",""
"08/01/2022 10:00:00 - 08/01/2022 11:00:00","BZN|PT","Without sequence","228.95","",""
"08/01/2022 11:00:00 - 08/01/2022 12:00:00","BZN|PT","Without sequence","215.39","",""
"08/01/2022 12:00:00 - 08/01/2022 13:00:00","BZN|PT","Without sequence","206.68","",""
"08/01/2022 13:00:00 - 08/01/2022 14:00:00","BZN|PT","Without sequence","185.0","",""
"08/01/2022 14:00:00 - 08/01/2022 15:00:00","BZN|PT","Without sequence","169.52","",""
"08/01/2022 15:00:00 - 08/01/2022 16:00:00","BZN|PT","Without sequence","162.8","",""
"08/01/2022 16:00:00 - 08/01/2022 17:00:00","BZN|PT","Without sequence","161.73","",""
"08/01/2022 17:00:00 - 08/01/2022 18:00:00","BZN|PT","Without sequence","189.9","",""
"08/01/2022 18:00:00 - 08/01/2022 19:00:00","BZN|PT","Without sequence","206.68","",""
"08/01/2022 19:00:00 - 08/01/2022 20:00:00","BZN|PT","Without sequence","210.0","",""
"08/01/2022 20:00:00 - 08/01/2022 21:00:00","BZN|PT","Without sequence","210.0","",""
"08/01/2022 21:00:00 - 08/01/2022 22:00:00","BZN|PT","Without sequence","209.37","",""
"08/01/2022 22:00:00 - 08/01/2022 23:00:00","BZN|PT","Without sequence","185.3","",""
"08/01/2022 23:00:00 - 09/01/2022 00:00:00","BZN|PT","Without sequence","168.8","",""
"09/01/2022 00:00:00 - 09/01/2022 01:00:00","BZN|PT","Without sequence","109.18","",""
"09/01/2022 01:00:00 - 09/01/2022 02:00:00","BZN|PT","Without sequence","89.61","",""
