"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|FR","Without sequence","79.82","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|FR","Without sequence","76.76","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|FR","Without sequence","73.46","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|FR","Without sequence","71.86","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|FR","Without sequence","72.08","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|FR","Without sequence","74.9","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|FR","Without sequence","77.69","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|FR","Without sequence","81.79","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|FR","Without sequence","84.86","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|FR","Without sequence","87.13","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|FR","Without sequence","89.12","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|FR","Without sequence","88.66","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|FR","Without sequence","84.81","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|FR","Without sequence","84.34","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|FR","Without sequence","88.01","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|FR","Without sequence","93.42","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|FR","Without sequence","101.77","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|FR","Without sequence","104.85","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|FR","Without sequence","103.55","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|FR","Without sequence","100.5","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|FR","Without sequence","93.31","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|FR","Without sequence","91.17","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|FR","Without sequence","83.86","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|FR","Without sequence","86.97","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|FR","Without sequence","84.18","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|FR","Without sequence","81.53","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|FR","Without sequence","78.79","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|FR","Without sequence","78.43","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|FR","Without sequence","82.1","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|FR","Without sequence","94.3","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|FR","Without sequence","111.07","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|FR","Without sequence","121.11","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|FR","Without sequence","117.83","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|FR","Without sequence","110.57","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|FR","Without sequence","103.0","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|FR","Without sequence","95.46","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|FR","Without sequence","93.88","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|FR","Without sequence","100.0","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|FR","Without sequence","107.98","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|FR","Without sequence","117.06","",""
